iter	Passed	Remaining
295	38193	77934
296	38315	77791
297	38435	77644
298	38555	77497
299	38672	77344
300	38789	77193
301	38945	77118
302	39075	76990
303	39314	77077
304	39452	76964
305	39586	76845
306	39738	76759
307	39871	76636
308	40033	76568
309	40182	76476
310	40329	76380
311	40478	76286
312	40625	76189
313	40768	76084
314	40927	76007
315	41116	75987
316	41285	75927
317	41411	75791
318	41573	75719
319	41707	75594
320	41874	75530
321	42064	75506
322	42340	75636
323	42502	75560
324	42683	75516
325	42883	75506
326	43134	75584
327	43314	75536
328	43453	75416
329	43619	75342
330	43750	75208
331	43905	75115
332	44052	75008
333	44208	74916
334	44362	74820
335	44482	74667
336	44669	74625
337	44793	74478
338	44916	74331
339	45092	74269
340	45221	74132
341	45341	73978
342	45460	73823
343	45604	73709
344	45741	73584
345	45894	73484
346	46026	73351
347	46174	73242
348	46297	73094
349	46432	72965
350	46617	72913
351	46738	72763
352	46875	72636
353	47032	72541
354	47165	72408
355	47314	72301
356	47463	72192
357	47615	72088
358	47747	71953
359	47912	71868
360	48076	71781
361	48218	71661
362	48371	71557
363	48513	71437
364	48661	71325
365	48780	71171
366	48897	71014
367	49015	70858
368	49133	70703
369	49250	70548
370	49369	70395
371	49521	70288
372	49644	70140
373	49800	70039
374	49931	69904
375	50098	69817
376	50249	69708
377	50378	69569
378	50550	69489
379	50709	69391
380	50837	69250
381	50955	69096
382	51119	69004
383	51241	68855
384	51360	68702
385	51506	68586
386	51629	68438
387	51746	68283
388	51862	68127
389	51979	67973
390	52097	67820
391	52214	67665
392	52361	67549
393	52477	67394
394	52594	67241
395	52712	67088
396	52827	66932
397	52945	66781
398	53063	66628
399	53210	66513
400	53329	66362
401	53447	66211
402	53564	66057
403	53679	65903
404	53796	65751
405	53913	65599
406	54062	65486
407	54181	65336
408	54298	65185
409	54417	65035
410	54535	64885
411	54670	64754
412	54823	64646
413	54996	64560
414	55143	64445
415	55282	64319
416	55432	64206
417	55572	64081
418	55695	63936
419	55851	63830
420	56017	63735
421	56152	63603
422	56310	63498
423	56436	63357
424	56554	63208
425	56674	63060
426	56792	62911
427	56958	62814
428	57105	62696
429	57225	62548
430	57348	62404
431	57514	62307
432	57637	62163
433	57765	62024
434	57957	61954
435	58100	61831
436	58279	61747
437	58428	61630
438	58582	61518
439	58734	61404
440	58871	61274
441	59054	61192
442	59187	61058
443	59310	60913
444	59454	60790
445	59620	60689
446	59740	60541
447	59884	60418
448	60083	60351
449	60235	60235
450	60405	60137
451	60555	60019
452	60721	59917
453	60873	59800
454	61015	59674
455	61175	59565
456	61331	59452
457	61468	59321
458	61597	59182
459	61721	59038
460	61855	58903
461	62007	58786
462	62175	58683
463	62297	58538
464	62447	58418
465	62599	58300
466	62737	58169
467	62893	58055
468	63024	57918
469	63174	57798
470	63334	57686
471	63473	57556
472	63627	57439
473	63781	57322
474	63923	57195
475	64058	57060
476	64201	56933
477	64326	56789
478	64480	56672
479	64605	56529
480	64765	56417
481	64884	56269
482	65028	56142
483	65201	56041
484	65360	55926
485	65499	55796
486	65649	55674
487	65801	55553
488	65943	55424
489	66098	55307
490	66271	55203
491	66438	55094
492	66582	54967
493	66741	54852
494	66886	54724
495	67034	54600
496	67176	54470
497	67357	54372
498	67504	54246
499	67656	54124
500	67802	53998
501	67953	53875
502	68093	53743
503	68245	53621
504	68418	53515
505	68562	53386
506	68685	53241
507	68834	53116
508	68977	52986
509	69119	52856
510	69278	52738
511	69455	52634
512	69606	52509
513	69733	52368
514	69898	52254
515	70051	52131
516	70214	52015
517	70367	51892
518	70577	51810
519	70723	51682
520	70884	51564
521	71039	51442
522	71177	51307
523	71344	51193
524	71483	51059
525	71672	50961
526	71814	50828
527	71980	50713
528	72122	50581
529	72271	50453
530	72419	50325
531	72557	50189
532	72741	50086
533	72885	49955
534	73031	49825
535	73187	49702
536	73327	49567
537	73474	49438
538	73614	49304
539	73796	49197
540	73936	49062
541	74091	48938
542	74226	48800
543	74376	48672
544	74513	48536
545	74663	48408
546	74834	48293
547	74990	48169
548	75140	48040
549	75273	47901
550	75411	47764
551	75532	47618
552	75686	47492
553	75858	47377
554	76009	47249
555	76144	47110
556	76301	46986
557	76438	46849
558	76616	46737
559	76777	46614
560	76959	46505
561	77115	46378
562	77266	46250
563	77415	46120
564	77562	45988
565	77718	45861
566	77876	45736
567	78054	45623
568	78199	45490
569	78347	45359
570	78496	45228
571	78653	45102
572	78791	44964
573	78931	44828
574	79115	44717
575	79255	44581
576	79379	44436
577	79505	44291
578	79679	44174
579	79807	44031
580	79940	43891
581	80109	43770
582	80248	43634
583	80370	43487
584	80487	43339
585	80607	43192
586	80727	43045
587	80858	42904
588	81014	42776
589	81136	42630
590	81253	42482
591	81374	42336
592	81504	42195
593	81628	42050
594	81747	41904
595	81901	41775
596	82027	41632
597	82162	41493
598	82290	41351
599	82433	41216
600	82560	41074
601	82697	40936
602	82854	40808
603	82972	40662
604	83091	40515
605	83213	40371
606	83330	40223
607	83447	40076
608	83561	39928
609	83721	39801
610	83861	39666
611	83988	39524
612	84115	39382
613	84319	39275
614	84465	39142
615	84614	39010
616	84795	38893
617	84924	38752
618	85049	38608
619	85175	38466
620	85313	38329
621	85437	38185
622	85573	38047
623	85754	37929
624	85889	37791
625	86046	37662
626	86202	37533
627	86328	37390
628	86507	37271
629	86654	37137
630	86831	37016
631	86978	36883
632	87106	36741
633	87227	36596
634	87347	36452
635	87471	36308
636	87592	36164
637	87740	36031
638	87861	35886
639	87978	35741
640	88101	35597
641	88224	35454
642	88397	35331
643	88538	35195
644	88685	35061
645	88807	34918
646	88925	34772
647	89045	34628
648	89167	34485
649	89297	34345
650	89425	34204
651	89585	34075
652	89710	33933
653	89842	33794
654	89976	33655
655	90119	33519
656	90262	33384
657	90398	33246
658	90548	33114
659	90671	32971
660	90790	32827
661	90910	32683
662	91029	32539
663	91153	32397
664	91274	32254
665	91422	32121
666	91543	31978
667	91665	31835
668	91785	31692
669	91909	31550
670	92027	31407
671	92146	31264
672	92298	31131
673	92421	30989
674	92548	30849
675	92667	30706
676	92789	30564
677	92909	30421
678	93031	30279
679	93188	30149
680	93308	30006
681	93427	29864
682	93544	29720
683	93664	29578
684	93782	29435
685	93899	29292
686	94045	29158
687	94164	29015
688	94285	28874
689	94401	28730
690	94518	28588
691	94638	28446
692	94755	28303
693	94903	28170
694	95020	28027
695	95138	27885
696	95256	27743
697	95372	27600
698	95489	27458
699	95607	27316
700	95757	27183
701	95877	27042
702	95999	26901
703	96122	26761
704	96242	26620
705	96363	26479
706	96485	26338
707	96635	26206
708	96755	26065
709	96877	25924
710	96997	25784
711	97115	25642
712	97235	25502
713	97358	25362
714	97508	25229
715	97627	25088
716	97749	24948
717	97870	24808
718	97992	24668
719	98114	24528
720	98236	24388
721	98388	24256
722	98506	24115
723	98624	23975
724	98742	23834
725	98860	23693
726	98982	23554
727	99101	23414
728	99252	23281
729	99369	23140
730	99494	23002
731	99622	22864
732	99744	22724
733	99866	22585
734	99996	22448
735	100160	22318
736	100288	22180
737	100420	22043
738	100542	21904
739	100661	21764
740	100784	21625
741	100909	21487
742	101071	21356
743	101199	21219
744	101338	21083
745	101465	20945
746	101589	20807
747	101715	20669
748	101841	20531
749	101992	20398
750	102117	20260
751	102236	20121
752	102357	19982
753	102478	19843
754	102597	19704
755	102716	19565
756	102861	19430
757	102980	19291
758	103099	19152
759	103217	19013
760	103340	18875
761	103461	18737
762	103580	18598
763	103730	18465
764	103851	18326
765	103973	18188
766	104097	18050
767	104217	17912
768	104338	17774
769	104460	17636
770	104606	17502
771	104727	17364
772	104847	17225
773	104966	17087
774	105085	16949
775	105209	16811
776	105328	16673
777	105475	16539
778	105597	16402
779	105714	16263
780	105830	16125
781	105949	15987
782	106071	15849
783	106192	15712
784	106341	15578
785	106461	15440
786	106580	15303
787	106698	15165
788	106826	15028
789	106957	14892
790	107079	14755
791	107227	14621
792	107349	14484
793	107472	14347
794	107593	14210
795	107715	14073
796	107834	13935
797	107955	13798
798	108104	13665
799	108244	13530
800	108379	13395
801	108500	13258
802	108620	13121
803	108741	12984
804	108863	12847
805	109016	12714
806	109139	12577
807	109261	12440
808	109381	12303
809	109509	12167
810	109632	12031
811	109753	11894
812	109913	11761
813	110045	11626
814	110182	11491
815	110312	11355
816	110433	11219
817	110556	11082
818	110677	10946
819	110823	10812
820	110946	10675
821	111073	10539
822	111218	10405
823	111336	10268
824	111454	10132
825	111570	9995
826	111714	9861
827	111832	9724
828	111949	9587
829	112066	9451
830	112182	9314
831	112299	9178
832	112420	9042
833	112572	8908
834	112695	8772
835	112814	8636
836	112935	8500
837	113060	8364
838	113184	8229
839	113306	8093
840	113454	7959
841	113571	7823
842	113689	7687
843	113805	7551
844	113922	7415
845	114040	7279
846	114160	7143
847	114311	7009
848	114433	6874
849	114550	6738
850	114667	6602
851	114785	6466
852	114908	6331
853	115032	6196
854	115182	6062
855	115305	5926
856	115423	5791
857	115542	5655
858	115663	5520
859	115785	5385
860	115908	5250
861	116057	5116
862	116180	4981
863	116302	4845
864	116421	4710
865	116544	4575
866	116665	4440
867	116785	4305
868	116931	4171
869	117053	4036
870	117176	3901
871	117298	3766
872	117414	3631
873	117533	3496
874	117652	3361
875	117798	3227
876	117916	3092
877	118035	2957
878	118151	2822
879	118269	2687
880	118386	2553
881	118504	2418
882	118650	2284
883	118772	2149
884	118893	2015
885	119018	1880
886	119137	1746
887	119260	1611
888	119378	1477
889	119529	1343
890	119651	1208
891	119774	1074
892	119899	939
893	120031	805
894	120172	671
895	120301	537
896	120455	402
897	120574	268
898	120691	134
899	120808	0
