iter	RMSE
151	2519.448888
152	2518.179561
153	2512.144707
154	2508.842578
155	2506.062288
156	2498.216946
157	2491.093569
158	2490.048256
159	2489.196054
160	2487.294786
161	2482.412774
162	2481.577645
163	2480.625592
164	2478.776555
165	2474.44042
166	2470.367901
167	2466.072088
168	2465.043229
169	2464.142003
170	2461.33666
171	2459.090545
172	2456.371834
173	2450.702513
174	2445.550374
175	2444.612143
176	2438.102254
177	2434.143227
178	2432.752005
179	2431.775398
180	2429.355595
181	2428.513844
182	2427.534698
183	2426.590198
184	2424.864786
185	2423.913512
186	2420.124774
187	2412.335501
188	2404.304998
189	2398.246659
190	2396.620469
191	2388.908874
192	2381.643389
193	2380.713873
194	2375.863847
195	2373.737783
196	2368.418201
197	2365.703908
198	2364.730251
199	2362.134152
200	2358.69086
201	2357.302053
202	2354.052874
203	2352.94099
204	2351.283222
205	2346.879356
206	2341.753311
207	2340.339686
208	2331.948069
209	2328.530266
210	2325.17994
211	2323.400313
212	2322.515681
213	2321.690372
214	2320.24603
215	2315.010098
216	2311.38461
217	2310.540379
218	2308.669811
219	2304.954557
220	2303.517577
221	2296.597368
222	2288.075353
223	2280.066876
224	2277.912118
225	2274.976444
226	2269.266604
227	2268.453467
228	2265.131697
229	2264.342856
230	2259.959207
231	2258.888602
232	2257.916681
233	2256.839382
234	2254.215627
235	2252.227636
236	2244.934266
237	2236.29912
238	2235.57353
239	2233.217313
240	2232.495756
241	2228.433492
242	2225.900899
243	2222.950968
244	2220.823054
245	2213.409252
246	2210.183608
247	2204.757487
248	2203.236892
249	2202.016587
250	2201.30136
251	2195.726921
252	2194.781072
253	2193.444688
254	2192.760662
255	2189.731589
256	2186.194902
257	2185.525714
258	2182.267792
259	2176.579202
260	2172.144318
261	2171.496323
262	2169.64538
263	2166.304492
264	2163.161104
265	2161.966574
266	2157.069096
267	2155.975374
268	2150.48267
269	2149.838362
270	2146.570864
271	2145.192361
272	2141.013384
273	2140.397036
274	2137.771331
275	2133.834396
276	2131.060186
277	2130.420309
278	2125.697774
279	2124.531488
280	2121.455535
281	2120.260555
282	2117.551238
283	2116.67994
284	2114.577366
285	2113.949026
286	2110.692649
287	2107.808749
288	2106.766267
289	2105.048851
290	2101.042469
291	2098.287781
292	2095.589427
293	2092.581705
294	2091.664716
295	2091.078984
296	2090.480191
297	2085.477972
298	2083.564165
299	2082.573434
300	2079.82786
301	2077.128362
302	2075.971533
303	2075.031657
304	2072.205363
305	2066.401329
306	2065.540099
307	2063.777145
308	2060.249939
309	2059.670073
310	2054.750526
311	2053.888154
312	2049.050855
313	2048.487012
314	2044.436379
315	2043.428543
316	2040.56802
317	2037.055607
318	2036.212282
319	2033.769314
320	2031.522882
321	2029.184831
322	2028.158096
323	2024.918438
324	2023.994921
325	2021.707098
326	2021.147428
327	2020.6195
328	2015.167126
329	2014.355213
330	2012.720802
331	2008.93953
332	2007.261902
333	2002.823998
334	2002.028622
335	2001.502683
336	2001.01012
337	1998.656761
338	1996.599981
339	1995.429973
340	1994.567771
341	1994.069184
342	1993.110751
343	1991.605456
344	1990.058872
345	1987.555428
346	1984.31298
347	1983.812238
348	1983.018492
349	1982.505678
350	1980.523934
351	1979.730812
352	1973.587084
353	1973.122278
354	1967.294408
355	1964.103102
356	1963.050436
357	1959.339712
358	1958.598811
359	1957.515407
360	1952.83533
361	1952.354576
362	1949.890712
363	1949.147286
364	1944.823088
365	1942.466083
366	1941.759808
367	1940.602216
368	1939.824015
369	1939.099551
370	1938.382406
371	1934.798375
372	1931.224062
373	1929.638364
374	1926.428438
375	1925.534799
376	1925.062237
377	1921.703569
378	1920.872034
379	1918.246987
380	1916.620077
381	1916.002943
382	1915.536577
383	1914.847307
384	1914.010743
385	1908.024474
386	1905.59741
387	1903.692688
388	1903.251974
389	1898.787208
390	1895.508425
391	1893.759025
392	1890.792194
393	1890.052741
394	1889.626583
395	1888.981477
396	1888.29292
397	1887.744861
398	1885.356925
399	1884.177752
400	1882.869995
401	1879.640972
402	1878.160337
403	1876.16565
404	1875.720143
405	1874.356545
406	1872.323249
407	1871.33928
408	1870.7103
409	1870.254043
410	1869.467742
411	1866.379561
412	1864.854002
413	1864.453059
414	1863.596241
415	1862.436661
416	1859.076677
417	1857.351947
418	1855.76687
419	1855.344292
420	1850.597422
421	1850.020383
422	1848.228708
423	1847.86391
424	1847.225893
425	1846.448479
426	1846.018436
427	1842.470909
428	1841.877318
429	1837.468207
430	1836.807176
431	1836.220492
432	1835.471803
433	1830.999215
434	1830.63153
435	1830.225533
436	1829.623426
437	1828.393159
438	1825.959537
439	1825.259386
440	1824.697249
441	1823.960201
442	1823.567973
443	1821.922838
444	1821.36661
445	1820.821498
446	1819.979623
447	1817.986155
448	1817.594674
449	1815.552411
450	1811.468088
451	1808.487778
452	1808.122995
453	1805.806811
454	1803.21086
455	1799.856096
456	1799.478508
457	1795.618213
458	1794.451424
459	1793.896002
460	1789.26794
461	1786.33795
462	1785.591773
463	1784.980105
464	1780.85034
465	1779.838617
466	1777.956772
467	1775.644827
468	1774.903989
469	1774.303253
470	1773.909649
471	1773.56197
472	1773.176865
473	1769.499674
474	1769.083417
475	1768.702365
476	1764.991689
477	1763.225008
478	1759.671622
479	1759.161335
480	1757.058763
481	1754.042275
482	1753.670373
483	1753.090134
484	1749.791559
485	1748.724239
486	1746.443559
487	1744.803656
488	1744.463688
489	1743.934159
490	1743.540188
491	1743.161031
492	1742.773471
493	1742.412985
494	1741.59064
495	1740.974775
496	1739.951054
497	1739.612933
498	1739.245288
499	1736.941563
500	1736.402414
501	1732.642644
502	1732.267036
503	1731.909191
504	1731.394461
505	1731.070828
506	1730.722828
507	1730.384656
508	1728.84766
509	1728.501668
510	1726.017847
511	1725.661716
512	1725.144346
513	1722.854731
514	1720.509965
515	1720.167809
516	1719.394135
517	1717.262494
518	1715.977644
519	1715.407703
520	1714.796477
521	1713.588985
522	1710.243699
523	1707.047362
524	1705.225279
525	1703.665
526	1703.353749
527	1702.156177
528	1700.416639
529	1700.093042
530	1699.781274
531	1699.284835
532	1698.782822
533	1698.280483
534	1697.953875
535	1693.804539
536	1693.25967
537	1692.328442
538	1690.655485
539	1690.087366
540	1688.991638
541	1686.499405
542	1684.157785
543	1683.28896
544	1681.080439
545	1680.587772
546	1679.920856
547	1676.609846
548	1674.284917
549	1673.592085
550	1671.07172
551	1670.423442
552	1668.28131
553	1664.893819
554	1662.618947
555	1661.79771
556	1661.479508
557	1659.650126
558	1658.393507
559	1657.896992
560	1657.275016
561	1656.970813
562	1656.473656
563	1654.005264
564	1652.627753
565	1648.894551
566	1646.831943
567	1646.505563
568	1645.217038
569	1644.931114
570	1643.329975
571	1642.753838
572	1642.197914
573	1641.874682
574	1639.824622
575	1639.331017
576	1638.000496
577	1637.535593
578	1636.575406
579	1634.144913
580	1631.295682
581	1630.81256
582	1629.209983
583	1628.904542
584	1627.241574
585	1626.719548
586	1626.416723
587	1625.85694
588	1625.22717
589	1622.877148
590	1622.435771
591	1621.844281
592	1618.532009
593	1615.877411
594	1614.06646
595	1613.161809
596	1612.676258
597	1612.391667
598	1608.783554
599	1605.624791
600	1605.122444
601	1604.811115
602	1604.401355
603	1601.846804
604	1601.389511
605	1598.479973
606	1596.298744
607	1595.074186
608	1594.626167
609	1593.934876
610	1590.952519
611	1587.32878
612	1585.648299
613	1585.180148
614	1584.894603
615	1582.464209
616	1582.168501
617	1580.944157
618	1579.662685
619	1579.366553
620	1578.545134
621	1577.538781
622	1577.01232
623	1573.671438
624	1571.513018
625	1570.897482
626	1570.611255
627	1569.940827
628	1567.501652
629	1567.092682
630	1566.494905
631	1566.138708
632	1565.858666
633	1565.406298
634	1563.830903
635	1561.88449
636	1561.391454
637	1559.503466
638	1556.317063
639	1556.051719
640	1555.616781
641	1553.87831
642	1553.406522
643	1552.062234
644	1551.79094
645	1547.939687
646	1547.498989
647	1546.488097
648	1545.475457
649	1541.476546
650	1540.771404
651	1540.505313
652	1540.237803
653	1537.570712
654	1535.487557
655	1535.230256
656	1534.227041
657	1529.694944
658	1528.089247
659	1526.835362
660	1526.40537
661	1526.117861
662	1525.859073
663	1523.277547
664	1522.310336
665	1521.829409
666	1521.418939
667	1519.529709
668	1519.294904
669	1518.672745
670	1518.410196
671	1516.157047
672	1515.721411
673	1515.26936
674	1515.027263
675	1513.488128
676	1509.555724
677	1507.539844
678	1505.689721
679	1505.441836
680	1505.022872
681	1504.611554
682	1504.074983
683	1502.749616
684	1500.98408
685	1500.735439
686	1500.477645
687	1498.783557
688	1497.204751
689	1496.746818
690	1496.464456
691	1493.644949
692	1493.215784
693	1492.298009
694	1491.879848
695	1490.81075
696	1490.565365
697	1490.190764
698	1488.927483
699	1487.61263
700	1487.366992
701	1485.684344
702	1485.249764
703	1483.928871
704	1483.462001
705	1481.70109
706	1480.000428
707	1477.739391
708	1475.926335
709	1475.10821
710	1472.708402
711	1472.279361
712	1470.551713
713	1469.791842
714	1469.539567
715	1469.145993
716	1468.028326
717	1467.631876
718	1465.942415
719	1465.589954
720	1465.351028
721	1463.060697
722	1462.187185
723	1460.313993
724	1458.475088
725	1457.251283
726	1456.654333
727	1456.020641
728	1454.701514
729	1454.34372
730	1453.995253
731	1452.520239
732	1451.820556
733	1451.564204
734	1450.283342
735	1449.299064
736	1449.052694
737	1447.112128
738	1446.637506
739	1445.117581
740	1444.718792
741	1444.470451
742	1441.455676
743	1441.061582
744	1438.099077
745	1435.484859
746	1435.097508
747	1434.862216
748	1434.481541
749	1434.084832
750	1433.670028
751	1433.418014
752	1433.065526
753	1430.757632
754	1430.523223
755	1429.185159
756	1428.944693
757	1425.783844
758	1424.730122
759	1424.496816
760	1423.639682
761	1420.955778
762	1420.532652
763	1419.146491
764	1418.180401
765	1417.94668
766	1417.30783
767	1414.598678
768	1411.457346
769	1409.314003
770	1408.868485
771	1408.250904
772	1406.521141
773	1405.838427
774	1405.48946
775	1405.250363
776	1405.029716
777	1404.668024
778	1402.667257
779	1402.306123
780	1401.891449
781	1399.809651
782	1397.961565
783	1397.320767
784	1397.09399
785	1396.250324
786	1395.870623
787	1395.521658
788	1395.197029
789	1392.238275
790	1391.872234
791	1391.394602
792	1391.176199
793	1390.007366
794	1385.51675
795	1384.516127
796	1384.29149
797	1381.94664
798	1379.143117
799	1377.247065
800	1376.727177
801	1376.324948
802	1375.99536
803	1374.901357
804	1374.512319
805	1373.393568
806	1373.059292
807	1372.771117
808	1372.388298
809	1372.149102
810	1371.566654
811	1370.368926
812	1369.512674
813	1369.26651
814	1367.69706
815	1366.74473
816	1365.132895
817	1362.610236
818	1362.300913
819	1360.402701
820	1358.635754
821	1358.286337
822	1357.993852
823	1357.773501
824	1357.038005
825	1356.617509
826	1356.31195
827	1354.924086
828	1354.631304
829	1354.185574
830	1353.859388
831	1352.417338
832	1352.129919
833	1348.74219
834	1346.14498
835	1344.493682
836	1344.268062
837	1342.263059
838	1341.078362
839	1340.854081
840	1340.058033
841	1339.714296
842	1336.91879
843	1336.701605
844	1335.140973
845	1334.921955
846	1334.58049
847	1334.274887
848	1331.088487
849	1329.919808
850	1329.710071
851	1329.359387
852	1327.875817
853	1327.471563
854	1327.17025
855	1325.703968
856	1323.803027
857	1323.403548
858	1323.061928
859	1322.853505
860	1322.447479
861	1322.234971
862	1321.31344
863	1320.913585
864	1320.030763
865	1318.939979
866	1318.611067
867	1317.833123
868	1317.61282
869	1317.309457
870	1317.020168
871	1316.177197
872	1315.62267
873	1313.07162
874	1312.234949
875	1311.137045
876	1309.356564
877	1307.987588
878	1307.787234
879	1307.467922
880	1307.277803
881	1306.091248
882	1304.788428
883	1302.697013
884	1299.739708
885	1299.5254
886	1299.228157
887	1297.970703
888	1297.785393
889	1296.720395
890	1295.618401
891	1294.415603
892	1294.104362
893	1293.80123
894	1293.271538
895	1291.772426
896	1291.526197
897	1290.513671
898	1289.868588
899	1288.784026
